2026-01-20 14:17:59 | DEBUG    | collector.rss_collector | fetch_feed:153 | Fetching feed: Yahoo Sports NBA (https://sports.yahoo.com/nba/rss.xml)
2026-01-20 14:18:00 | INFO     | collector.rss_collector | fetch_feed:215 | Fetched 50 items from Yahoo Sports NBA
2026-01-20 14:18:00 | DEBUG    | collector.rss_collector | fetch_feed:153 | Fetching feed: AS Fútbol (https://as.com/rss/tags/futbol.xml)
2026-01-20 14:18:00 | ERROR    | collector.rss_collector | fetch_feed:220 | Request error fetching AS Fútbol: 404 Client Error: Not Found for url: https://as.com/rss/tags/futbol.xml
2026-01-20 14:18:00 | DEBUG    | collector.rss_collector | fetch_feed:153 | Fetching feed: Bleacher Report NBA (https://bleacherreport.com/articles/feed?tag_id=4)
2026-01-20 14:18:01 | ERROR    | collector.rss_collector | fetch_feed:220 | Request error fetching Bleacher Report NBA: 404 Client Error: Not Found for url: https://bleacherreport.com/articles/feed?tag_id=4
2026-01-20 14:18:01 | DEBUG    | collector.rss_collector | fetch_feed:153 | Fetching feed: Marca Fútbol (https://e00-marca.uecdn.es/rss/futbol/primera-division.xml)
2026-01-20 14:18:01 | INFO     | collector.rss_collector | fetch_feed:215 | Fetched 42 items from Marca Fútbol
2026-01-20 14:18:01 | INFO     | collector.rss_collector | collect_all:248 | Collected 407 total items from 19 sources
2026-01-20 14:18:01 | INFO     | goalfeed | run_cycle:300 | 🔄 Processing 407 items...
2026-01-20 14:18:01 | INFO     | processor.normalize | normalize_all:135 | Normalized 407 of 407 items
2026-01-20 14:18:01 | INFO     | processor.dedupe | dedupe_all:226 | Dedupe: 395 unique, 12 duplicates
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Sinner details the one shot he ‘needs to...' -> sport=tennis, category=match_result, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Monfils to crowd after last Australian O...' -> sport=tennis, category=match_result, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Sinner advances to Australian Open R2 af...' -> sport=tennis, category=injury, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Fonseca says back is ‘100 per cent’ but ...' -> sport=tennis, category=match_result, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'A date with Alcaraz & engaged to Sofie: ...' -> sport=tennis, category=schedule, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Shelton wins ‘lefties on Laver’, sinks H...' -> sport=tennis, category=match_result, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Marin Cilic on evolution of tennis: 'I t...' -> sport=tennis, category=injury, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'A lifetime of net-rushing opponents all ...' -> sport=tennis, category=injury, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Djokovic jokes about Alcaraz’s new serve...' -> sport=tennis, category=match_result, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Arthur Gea, 19 years his junior, embrace...' -> sport=tennis, category=default, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Djokovic celebrates 100th Australian Ope...' -> sport=tennis, category=match_result, status=CONFIRMADO
